index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,market,lot_size_65_days
1320,портновские гладильные болванки,https://www.wildberries.ru/catalog/0/search.aspx?search=Портновские+гладильные+болванки&xsearch=true,8.0,788.0,670.0,1097.0,10.0,2.0,43.0,6.0,1.0,1.0,25.0,61.0,41.125,wb,81.0
1402,инъекторы,https://www.wildberries.ru/catalog/0/search.aspx?search=Инъекторы&xsearch=true,2.0,3152.5,3005.0,3300.0,68.0,2.0,134.0,1.0,1.0,1.0,0.0,48.0,24.0,wb,179.0
1468,пеленки крестильные,https://www.wildberries.ru/catalog/0/search.aspx?search=Пеленки+крестильные&xsearch=true,58.0,955.948275862069,373.0,1890.0,17.0,0.0,277.0,56.0,14.0,9.0,0.0,69.0,34.241379310344826,wb,135.0
1644,сушилки походные,https://www.wildberries.ru/catalog/0/search.aspx?search=Сушилки+походные&xsearch=true,92.0,907.3152173913044,399.0,2802.0,12.0,0.0,212.0,91.0,91.0,40.0,0.0,80.0,42.16304347826087,wb,120.0
1666,накладки гимнастические,https://www.wildberries.ru/catalog/0/search.aspx?search=Накладки+гимнастические&xsearch=true,6.0,753.5,521.0,800.0,20.0,0.0,91.0,2.0,1.0,1.0,34.0,41.0,39.833333333333336,wb,90.0
1779,хлысты,https://www.wildberries.ru/catalog/0/search.aspx?search=Хлысты&xsearch=true,20.0,1729.05,540.0,4190.0,19.0,0.0,263.0,16.0,16.0,6.0,0.0,36.0,13.75,wb,158.0
1857,ваттметры,https://www.wildberries.ru/catalog/0/search.aspx?search=Ваттметры&xsearch=true,23.0,1224.9130434782608,480.0,2500.0,15.0,0.0,122.0,12.0,12.0,12.0,0.0,68.0,37.65217391304348,wb,112.0
1866,насадки пенной чистки,https://www.wildberries.ru/catalog/0/search.aspx?search=Насадки+пенной+чистки&xsearch=true,30.0,2077.4666666666667,828.0,3900.0,19.0,0.0,108.0,28.0,9.0,9.0,0.0,66.0,31.4,wb,138.0
1870,буи,https://www.wildberries.ru/catalog/0/search.aspx?search=Буи&xsearch=true,7.0,1550.2857142857142,1099.0,2199.0,92.0,0.0,287.0,6.0,5.0,5.0,0.0,47.0,14.285714285714285,wb,157.0
2027,каны рыболовные,https://www.wildberries.ru/catalog/0/search.aspx?search=Каны+рыболовные&xsearch=true,99.0,1111.969696969697,432.0,3874.0,13.0,0.0,87.0,86.0,86.0,44.0,0.0,64.0,35.78787878787879,wb,101.0
2040,баллоны для сифонов,https://www.wildberries.ru/catalog/0/search.aspx?search=Баллоны+для+сифонов&xsearch=true,16.0,720.3125,449.0,1312.0,68.0,0.0,697.0,6.0,4.0,4.0,0.0,80.0,36.375,wb,214.0
2094,сумки для обследования животных,https://www.wildberries.ru/catalog/0/search.aspx?search=Сумки+для+обследования+животных&xsearch=true,8.0,2098.0,472.0,4300.0,13.0,0.0,44.0,3.0,2.0,2.0,0.0,45.0,15.125,wb,126.0
2104,камеры автомобильные для шин,https://www.wildberries.ru/catalog/0/search.aspx?search=Камеры+автомобильные+для+шин&xsearch=true,26.0,666.6153846153846,442.0,1078.0,34.0,0.0,178.0,26.0,26.0,26.0,0.0,55.0,22.84615384615385,wb,105.0
2140,средства для удаления затирки,https://www.wildberries.ru/catalog/0/search.aspx?search=Средства+для+удаления+затирки&xsearch=true,14.0,899.7142857142858,375.0,1598.0,11.0,0.0,95.0,4.0,1.0,1.0,3.0,51.0,26.0,wb,96.0
2146,хлебцы протеиновые,https://www.wildberries.ru/catalog/0/search.aspx?search=Хлебцы+протеиновые&xsearch=true,21.0,719.4761904761905,448.0,888.0,69.0,0.0,478.0,15.0,10.0,10.0,0.0,62.0,48.19047619047619,wb,169.0
2226,наборы катушек,https://www.wildberries.ru/catalog/0/search.aspx?search=Наборы+катушек&xsearch=true,33.0,1016.3333333333335,382.0,3860.0,7.0,0.0,48.0,32.0,32.0,32.0,20.0,71.0,52.63636363636363,wb,90.0
2273,чехлы для песочниц,https://www.wildberries.ru/catalog/0/search.aspx?search=Чехлы+для+песочниц&xsearch=true,16.0,1558.375,846.0,3015.0,11.0,0.0,43.0,7.0,3.0,1.0,0.0,32.0,16.4375,wb,107.0
2298,шипы велосипедные,https://www.wildberries.ru/catalog/0/search.aspx?search=Шипы+велосипедные&xsearch=true,2.0,1387.0,999.0,1775.0,180.0,0.0,360.0,1.0,1.0,1.0,0.0,29.0,14.5,wb,167.0
