index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount
9907,крышка бачка омывателя лобового,https://www.wildberries.ru/catalog/0/search.aspx?search=крышка%20бачка%20омывателя%20лобового&xsearch=true&xsearch=true&sort=popular,1.0,401.0,401.0,401.0,118.0,118.0,118.0,1.0,1.0,1.0,33.0,33.0,33.0
10199,мерная рюмка,https://www.wildberries.ru/catalog/0/search.aspx?search=мерная%20рюмка&xsearch=true&xsearch=true&sort=popular,3.0,712.0,366.0,1175.0,15.0,1.0,41.0,1.0,1.0,1.0,28.0,54.0,44.33333333333334
10214,acetyl l-carnitine,https://www.wildberries.ru/catalog/0/search.aspx?search=acetyl%20l-carnitine&xsearch=true&xsearch=true&sort=popular,12.0,970.1666666666665,450.0,1390.0,16.0,0.0,44.0,10.0,10.0,10.0,0.0,59.0,25.16666666666667
10304,артишок вьетнам,https://www.wildberries.ru/catalog/0/search.aspx?search=артишок%20вьетнам&xsearch=true&xsearch=true&sort=popular,7.0,1163.0,351.0,2662.0,29.0,6.0,65.0,7.0,5.0,5.0,5.0,49.0,34.42857142857143
10409,терка барабанная,https://www.wildberries.ru/catalog/0/search.aspx?search=терка%20барабанная&xsearch=true&xsearch=true&sort=popular,71.0,970.8169014084508,365.0,1600.0,3.0,0.0,51.0,19.0,3.0,3.0,0.0,98.0,70.69014084507042
10606,веледа для умывания,https://www.wildberries.ru/catalog/0/search.aspx?search=веледа%20для%20умывания&xsearch=true&xsearch=true&sort=popular,5.0,1239.8,655.0,2936.0,146.0,0.0,295.0,2.0,2.0,2.0,20.0,51.0,30.4
10754,чехол для earpods,https://www.wildberries.ru/catalog/0/search.aspx?search=чехол%20для%20earpods&xsearch=true&xsearch=true&sort=popular,5.0,1006.4,599.0,1372.0,19.0,0.0,47.0,4.0,4.0,4.0,65.0,99.0,74.6
11007,gift'n'home кашпо,https://www.wildberries.ru/catalog/0/search.aspx?search=gift'n'home%20кашпо&xsearch=true&xsearch=true&sort=popular,9.0,615.8888888888888,396.0,1052.0,14.0,0.0,43.0,5.0,3.0,1.0,59.0,73.0,68.0
11131,суп феликс,https://www.wildberries.ru/catalog/0/search.aspx?search=суп%20феликс&xsearch=true&xsearch=true&sort=popular,3.0,457.33333333333326,429.0,502.0,1552.0,456.0,3012.0,3.0,3.0,3.0,17.0,29.0,24.33333333333333
11211,журнал по выживанию книга,https://www.wildberries.ru/catalog/0/search.aspx?search=журнал%20по%20выживанию%20книга&xsearch=true&xsearch=true&sort=popular,3.0,459.33333333333326,454.0,462.0,40.0,12.0,68.0,2.0,1.0,1.0,0.0,34.0,20.0
