index_label,ключевые слова,url,кол-во аналогов,средняя цена,минимальная цена,максимальная цена,mean продаж за месяц,min продаж за месяц,max продаж за месяц,min pos > 10,min pos > 20,min pos > 30,min_discount,max_discount,mean_discount,категория
76744,тональный крем nix,https://www.wildberries.ru/catalog/0/search.aspx?search=тональный%20крем%20nix&xsearch=true&xsearch=true&sort=popular,72.0,814.9027777777777,359.0,1229.0,14.0,0.0,166.0,66.0,57.0,57.0,,,,крем тональный
76747,джинсы мужские katebi,https://www.wildberries.ru/catalog/0/search.aspx?search=джинсы%20мужские%20katebi&xsearch=true&xsearch=true&sort=popular,54.0,1465.0740740740741,749.0,2099.0,55.0,0.0,574.0,53.0,47.0,47.0,51.0,77.0,69.42592592592592,джинсы мужской
76778,френч пресс rondell,https://www.wildberries.ru/catalog/0/search.aspx?search=френч%20пресс%20rondell&xsearch=true&xsearch=true&sort=popular,8.0,1259.25,752.0,2155.0,29.0,4.0,63.0,6.0,6.0,6.0,28.0,55.0,40.875,френч
76840,алмазная мозаика утро в деревне,https://www.wildberries.ru/catalog/0/search.aspx?search=алмазная%20мозаика%20утро%20в%20деревне&xsearch=true&xsearch=true&sort=popular,2.0,1555.0,1120.0,1990.0,116.0,1.0,231.0,2.0,2.0,2.0,,,,мозаика алмазный
76848,secret key тонер,https://www.wildberries.ru/catalog/0/search.aspx?search=secret%20key%20тонер&xsearch=true&xsearch=true&sort=popular,59.0,727.1864406779662,352.0,1252.0,31.0,0.0,516.0,56.0,52.0,52.0,,,,
76850,тонер trimay,https://www.wildberries.ru/catalog/0/search.aspx?search=тонер%20trimay&xsearch=true&xsearch=true&sort=popular,26.0,939.4230769230768,756.0,1256.0,23.0,0.0,108.0,23.0,10.0,7.0,15.0,56.0,34.230769230769226,тонер
76865,маркеры мазари,https://www.wildberries.ru/catalog/0/search.aspx?search=маркеры%20мазари&xsearch=true&xsearch=true&sort=popular,2.0,705.0,500.0,910.0,31.0,14.0,47.0,3.0,2.0,2.0,75.0,87.0,81.0,маркер
76962,мини кирпичи,https://www.wildberries.ru/catalog/0/search.aspx?search=мини%20кирпичи&xsearch=true&xsearch=true&sort=popular,1.0,442.0,442.0,442.0,334.0,334.0,334.0,2.0,2.0,2.0,38.0,38.0,38.0,кирпич
76969,джинсы мужские bedew,https://www.wildberries.ru/catalog/0/search.aspx?search=джинсы%20мужские%20bedew&xsearch=true&xsearch=true&sort=popular,30.0,1640.5666666666666,912.0,1795.0,83.0,0.0,327.0,31.0,31.0,31.0,43.0,84.0,60.73333333333333,джинсы мужской
76991,concept бальзам жемчужный блонд,https://www.wildberries.ru/catalog/0/search.aspx?search=concept%20бальзам%20жемчужный%20блонд&xsearch=true&xsearch=true&sort=popular,5.0,446.0,406.0,490.0,756.0,3.0,3477.0,5.0,4.0,4.0,38.0,54.0,47.0,блонды
77021,скатерть karna,https://www.wildberries.ru/catalog/0/search.aspx?search=скатерть%20karna&xsearch=true&xsearch=true&sort=popular,36.0,1968.555555555556,1092.0,2824.0,24.0,1.0,67.0,31.0,21.0,21.0,68.0,74.0,70.47222222222223,скатерть
77072,бтр 80,https://www.wildberries.ru/catalog/0/search.aspx?search=бтр%2080&xsearch=true&xsearch=true&sort=popular,3.0,388.33333333333326,360.0,443.0,20.0,7.0,41.0,3.0,3.0,3.0,20.0,30.0,25.0,бтр
77111,nyx lingerie,https://www.wildberries.ru/catalog/0/search.aspx?search=nyx%20lingerie&xsearch=true&xsearch=true&sort=popular,40.0,516.825,355.0,636.0,60.0,0.0,1428.0,40.0,38.0,38.0,24.0,54.0,32.925,
77120,family look папа сын,https://www.wildberries.ru/catalog/0/search.aspx?search=family%20look%20папа%20сын&xsearch=true&xsearch=true&sort=popular,14.0,1251.7857142857142,787.0,1570.0,42.0,6.0,125.0,14.0,14.0,13.0,40.0,49.0,44.14285714285715,папа
77169,аромалампа будда,https://www.wildberries.ru/catalog/0/search.aspx?search=аромалампа%20будда&xsearch=true&xsearch=true&sort=popular,7.0,780.0,427.0,1008.0,20.0,0.0,83.0,3.0,3.0,3.0,,,,будда аромалампа
77188,варежки ray,https://www.wildberries.ru/catalog/0/search.aspx?search=варежки%20ray&xsearch=true&xsearch=true&sort=popular,31.0,1241.6451612903227,755.0,2994.0,20.0,0.0,69.0,26.0,26.0,19.0,40.0,50.0,49.67741935483871,варежка
77275,бандаж pregma,https://www.wildberries.ru/catalog/0/search.aspx?search=бандаж%20pregma&xsearch=true&xsearch=true&sort=popular,8.0,1202.5,990.0,1390.0,281.0,1.0,746.0,5.0,5.0,5.0,51.0,69.0,60.375,бандаж
77317,распашонка тонкая,https://www.wildberries.ru/catalog/0/search.aspx?search=распашонка%20тонкая&xsearch=true&xsearch=true&sort=popular,10.0,711.2,656.0,1176.0,52.0,0.0,121.0,10.0,10.0,10.0,25.0,59.0,28.9,распашонка
77329,лосины гимнастические детские,https://www.wildberries.ru/catalog/0/search.aspx?search=лосины%20гимнастические%20детские&xsearch=true&xsearch=true&sort=popular,12.0,909.8333333333335,486.0,1235.0,50.0,0.0,200.0,10.0,5.0,5.0,,,,лосина
77354,увлажнитель воздуха proffi,https://www.wildberries.ru/catalog/0/search.aspx?search=увлажнитель%20воздуха%20proffi&xsearch=true&xsearch=true&sort=popular,3.0,891.3333333333335,718.0,1008.0,49.0,0.0,137.0,2.0,2.0,2.0,43.0,63.0,52.33333333333334,увлажнитель
77370,магнитная игра яблоня,https://www.wildberries.ru/catalog/0/search.aspx?search=магнитная%20игра%20яблоня&xsearch=true&xsearch=true&sort=popular,2.0,1460.5,1101.0,1820.0,58.0,46.0,69.0,3.0,3.0,3.0,30.0,42.0,36.0,игра магнитная
77387,грелка детская гелевая,https://www.wildberries.ru/catalog/0/search.aspx?search=грелка%20детская%20гелевая&xsearch=true&xsearch=true&sort=popular,3.0,931.6666666666665,405.0,1195.0,349.0,255.0,496.0,4.0,4.0,4.0,5.0,19.0,9.666666666666666,гелевый грелка
77455,настольная игра кортекс,https://www.wildberries.ru/catalog/0/search.aspx?search=настольная%20игра%20кортекс&xsearch=true&xsearch=true&sort=popular,7.0,761.2857142857142,489.0,1155.0,167.0,16.0,625.0,8.0,7.0,7.0,15.0,58.0,42.57142857142857,игра настольный
